2025-10-29 19:51:01,858 - NPM_Analyzer - INFO - Fetching metadata for '@next/swc-linux-x64-musl'...
2025-10-29 19:51:02,384 - NPM_Analyzer - INFO - Found 2104 versions. Starting download into 'temp/@next_swc-linux-x64-musl'...
2025-10-29 21:50:28,801 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.73: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.73.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377ff5d810>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,804 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.74: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.74.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377ff5d310>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,807 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.75: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.75.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377ff5c690>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,810 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.76: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.76.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377ff5df90>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,814 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.77: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.77.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377ff5fed0>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,816 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.78: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.78.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377ff5cb90>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,819 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.79: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.79.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377ff5e5d0>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,821 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.80: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.80.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377ff5c7d0>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,824 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.81: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.81.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377e579090>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
2025-10-29 21:50:28,826 - NPM_Analyzer - ERROR -   Error on version 15.0.0-canary.82: HTTPSConnectionPool(host='registry.npmjs.org', port=443): Max retries exceeded with url: /@next/swc-linux-x64-musl/-/swc-linux-x64-musl-15.0.0-canary.82.tgz (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7f377e578cd0>: Failed to resolve 'registry.npmjs.org' ([Errno -3] Temporary failure in name resolution)"))
